binary_smallmed_gen.txt,missing_one
148,217
148,214
148,217
148,232
148,227
148,219
148,218
148,217
148,222
148,213
binary_smallmed_gen.txt,has_one
148,677
148,660
148,622
148,586
148,573
148,674
148,644
148,597
148,625
148,651
binary_smallmed_gen.txt,some
148,571
148,577
148,538
148,579
148,554
148,581
148,589
148,575
148,557
148,548
binary_smallmed_gen.txt,half
148,433
148,458
148,445
148,446
148,475
148,472
148,466
148,458
148,456
148,456
binary_smallmed_gen.txt,most
148,305
148,311
148,310
148,310
148,309
148,312
148,303
148,294
148,311
148,320
binary_smallmed_gen.txt,random_10
148,721
148,703
148,713
148,700
148,714
148,674
148,686
148,682
148,762
148,707
binary_smallmed_gen.txt,random_25
148,771
148,750
148,774
148,739
148,747
148,755
148,798
148,741
148,788
148,777
binary_smallmed_gen.txt,random_50
148,821
148,822
148,781
148,835
148,804
148,776
148,805
148,779
148,821
148,807
binary_smallmed_gen.txt,random_75
148,626
148,650
148,649
148,659
148,667
148,642
148,636
148,666
148,677
148,650
binary_smallmed_gen.txt,random_90
148,117
148,126
148,122
148,117
148,116
148,116
148,124
148,120
148,112
148,115
binary_smallmed_gen_reduced.txt,missing_one
148,109
148,117
148,101
148,97
148,115
148,106
148,105
148,104
148,101
148,109
binary_smallmed_gen_reduced.txt,has_one
148,327
148,323
148,303
148,325
148,336
148,364
148,282
148,304
148,318
148,342
binary_smallmed_gen_reduced.txt,some
148,291
148,262
148,273
148,253
148,268
148,281
148,281
148,276
148,278
148,258
binary_smallmed_gen_reduced.txt,half
148,228
148,223
148,228
148,210
148,218
148,221
148,263
148,234
148,243
148,227
binary_smallmed_gen_reduced.txt,most
148,155
148,159
148,146
148,161
148,144
148,163
148,155
148,152
148,153
148,158
binary_smallmed_gen_reduced.txt,random_10
148,342
148,315
148,324
148,333
148,340
148,356
148,330
148,318
148,362
148,322
binary_smallmed_gen_reduced.txt,random_25
148,407
148,393
148,355
148,423
148,344
148,378
148,388
148,381
148,388
148,407
binary_smallmed_gen_reduced.txt,random_50
148,310
148,333
148,265
148,353
148,259
148,268
148,269
148,294
148,307
148,307
binary_smallmed_gen_reduced.txt,random_75
148,200
148,215
148,211
148,201
148,199
148,182
148,212
148,203
148,213
148,212
binary_smallmed_gen_reduced.txt,random_90
148,119
148,174
148,126
148,101
148,165
148,111
148,99
148,99
148,124
148,109
binary_med_gen.txt,missing_one
3776,1929
3776,1875
3776,1834
3776,1918
3776,1932
3776,1916
3776,1910
3776,1915
3776,1917
3776,1934
binary_med_gen.txt,has_one
3776,24763
3776,25450
3776,25135
3776,24387
3776,24287
3776,24573
3776,24751
3776,24613
3776,24482
3776,24660
binary_med_gen.txt,some
3776,22898
3776,22742
3776,22993
3776,22809
3776,22744
3776,22816
3776,22885
3776,22919
3776,22865
3776,22895
binary_med_gen.txt,half
3776,18270
3776,18247
3776,18366
3776,18319
3776,18306
3776,18323
3776,18346
3776,18350
3776,18383
3776,18404
binary_med_gen.txt,most
3776,11015
3776,10995
3776,11063
3776,10975
3776,11045
3776,11037
3776,11090
3776,11082
3776,11080
3776,11017
binary_med_gen.txt,random_10
3776,27412
3776,27372
3776,27541
3776,27410
3776,27395
3776,27325
3776,27331
3776,27409
3776,27331
3776,27375
binary_med_gen.txt,random_25
3776,27968
3776,27861
3776,27888
3776,27999
3776,27874
3776,27838
3776,27914
3776,28109
3776,27905
3776,27907
binary_med_gen.txt,random_50
3776,27520
3776,27536
3776,27486
3776,27535
3776,27499
3776,27408
3776,27503
3776,27453
3776,27441
3776,27394
binary_med_gen.txt,random_75
3776,16795
3776,16799
3776,16737
3776,16858
3776,16766
3776,16737
3776,16694
3776,16822
3776,16581
3776,16730
binary_med_gen.txt,random_90
3776,8513
3776,8531
3776,8537
3776,8544
3776,8508
3776,8564
3776,8474
3776,8548
3776,8502
3776,8460
binary_med_gen_reduced.txt,missing_one
3776,978
3776,975
3776,944
3776,950
3776,975
3776,970
3776,951
3776,949
3776,969
3776,963
binary_med_gen_reduced.txt,has_one
3776,12417
3776,13025
3776,12135
3776,12543
3776,12408
3776,12251
3776,12887
3776,12737
3776,12988
3776,12805
binary_med_gen_reduced.txt,some
3776,11518
3776,11365
3776,11476
3776,11610
3776,11464
3776,11574
3776,11512
3776,11407
3776,11503
3776,11481
binary_med_gen_reduced.txt,half
3776,9251
3776,9163
3776,9266
3776,9269
3776,9185
3776,9253
3776,9241
3776,9281
3776,9230
3776,9228
binary_med_gen_reduced.txt,most
3776,5561
3776,5539
3776,5582
3776,5616
3776,5686
3776,5527
3776,5673
3776,5597
3776,5520
3776,5503
binary_med_gen_reduced.txt,random_10
3776,14054
3776,14013
3776,13957
3776,14004
3776,13852
3776,13987
3776,13953
3776,14000
3776,14004
3776,14086
binary_med_gen_reduced.txt,random_25
3776,14090
3776,14119
3776,14200
3776,14264
3776,14135
3776,14094
3776,14124
3776,14114
3776,14201
3776,14237
binary_med_gen_reduced.txt,random_50
3776,12405
3776,12270
3776,12243
3776,12311
3776,12320
3776,12223
3776,12328
3776,12337
3776,12274
3776,12306
binary_med_gen_reduced.txt,random_75
3776,9430
3776,9482
3776,9350
3776,9445
3776,9421
3776,9468
3776,9438
3776,9416
3776,9390
3776,9532
binary_med_gen_reduced.txt,random_90
3776,5352
3776,5268
3776,5180
3776,5318
3776,5328
3776,5364
3776,5336
3776,5327
3776,5320
3776,5356
binary_large_gen.txt,missing_one
33726,8078
33726,8055
33726,8102
33726,8131
33726,8098
33726,8131
33726,8056
33726,8075
33726,8066
33726,8157
binary_large_gen.txt,has_one
33726,305626
33726,309488
33726,306323
33726,303429
33726,309141
33726,307158
33726,306979
33726,307500
33726,311361
33726,305757
binary_large_gen.txt,some
33726,287368
33726,287718
33726,287729
33726,287700
33726,287927
33726,288058
33726,287344
33726,287553
33726,287727
33726,288326
binary_large_gen.txt,half
33726,229836
33726,229357
33726,229488
33726,229393
33726,229556
33726,229505
33726,229444
33726,229466
33726,229429
33726,229709
binary_large_gen.txt,most
33726,132344
33726,132270
33726,132345
33726,132356
33726,132399
33726,132314
33726,132329
33726,132080
33726,132492
33726,132072
binary_large_gen.txt,random_10
33726,332729
33726,332434
33726,332072
33726,332279
33726,332455
33726,332114
33726,332115
33726,332102
33726,332306
33726,332020
binary_large_gen.txt,random_25
33726,330350
33726,330423
33726,330677
33726,330670
33726,330497
33726,330564
33726,330788
33726,330809
33726,330652
33726,330740
binary_large_gen.txt,random_50
33726,291620
33726,291498
33726,291569
33726,291401
33726,291642
33726,291726
33726,291440
33726,291536
33726,291500
33726,291585
binary_large_gen.txt,random_75
33726,195322
33726,195340
33726,195079
33726,195142
33726,195222
33726,194923
33726,195145
33726,195241
33726,195337
33726,195325
binary_large_gen.txt,random_90
33726,107157
33726,107175
33726,107030
33726,107110
33726,107243
33726,107313
33726,107150
33726,107346
33726,107080
33726,107294
binary_large_gen_reduced.txt,missing_one
33726,3788
33726,3812
33726,3806
33726,3781
33726,3816
33726,3786
33726,3827
33726,3764
