input_small_gen.txt,missing_one
27,28
27,31
27,35
27,31
27,32
27,31
27,26
27,27
27,24
27,30
input_small_gen.txt,has_one
27,36
27,35
27,39
27,38
27,32
27,44
27,31
27,40
27,39
27,36
input_small_gen.txt,some
27,27
27,29
27,30
27,28
27,28
27,30
27,31
27,17
27,28
27,24
input_small_gen.txt,half
27,32
27,32
27,36
27,23
27,29
27,29
27,24
27,26
27,32
27,24
input_small_gen.txt,most
27,19
27,16
27,16
27,21
27,20
27,21
27,16
27,18
27,16
27,16
input_small_gen.txt,random_10
27,45
27,36
27,40
27,37
27,37
27,42
27,42
27,42
27,41
27,43
input_small_gen.txt,random_25
27,56
27,34
27,36
27,41
27,33
27,38
27,43
27,40
27,46
27,40
input_small_gen.txt,random_50
27,40
27,44
27,44
27,34
27,38
27,35
27,42
27,37
27,41
27,43
input_small_gen.txt,random_75
27,16
27,21
27,18
27,14
27,13
27,17
27,22
27,19
27,16
27,11
input_small_gen.txt,random_90
27,18
27,13
27,15
27,19
27,18
27,14
27,15
27,18
27,14
27,18
input_small_reduced.txt,missing_one
15,18
15,18
15,24
15,23
15,18
15,18
15,20
15,18
15,17
15,22
input_small_reduced.txt,has_one
15,26
15,24
15,22
15,22
15,30
15,22
15,24
15,20
15,28
15,24
input_small_reduced.txt,some
15,19
15,21
15,20
15,16
15,16
15,16
15,17
15,18
15,18
15,15
input_small_reduced.txt,half
15,21
15,17
15,17
15,20
15,19
15,22
15,19
15,15
15,21
15,19
input_small_reduced.txt,most
15,10
15,10
15,10
15,10
15,14
15,14
15,12
15,12
15,11
15,11
input_small_reduced.txt,random_10
15,28
15,28
15,41
15,39
15,26
15,24
15,41
15,28
15,28
15,33
input_small_reduced.txt,random_25
15,22
15,35
15,15
15,36
15,25
15,93
15,19
15,56
15,44
15,38
input_small_reduced.txt,random_50
15,22
15,32
15,40
15,22
15,21
15,37
15,22
15,21
15,28
15,35
input_small_reduced.txt,random_75
15,12
15,10
15,12
15,14
15,13
15,14
15,12
15,10
15,12
15,10
input_small_reduced.txt,random_90
15,13
15,11
15,10
15,14
15,10
15,12
15,13
15,13
15,13
15,12
input_smallmed_gen.txt,missing_one
562,223
562,237
562,215
562,232
562,220
562,222
562,225
562,218
562,229
562,236
input_smallmed_gen.txt,has_one
562,636
562,651
562,654
562,634
562,655
562,635
562,630
562,635
562,635
562,625
input_smallmed_gen.txt,some
562,596
562,579
562,559
562,575
562,565
562,552
562,588
562,574
562,560
562,571
input_smallmed_gen.txt,half
562,465
562,458
562,457
562,457
562,470
562,475
562,466
562,463
562,468
562,471
input_smallmed_gen.txt,most
562,307
562,322
562,305
562,310
562,321
562,314
562,307
562,313
562,310
562,309
input_smallmed_gen.txt,random_10
562,770
562,745
562,792
562,772
562,744
562,739
562,746
562,737
562,761
562,761
input_smallmed_gen.txt,random_25
562,761
562,755
562,760
562,747
562,762
562,787
562,762
562,762
562,763
562,753
input_smallmed_gen.txt,random_50
562,578
562,684
562,618
562,606
562,604
562,617
562,601
562,589
562,609
562,625
input_smallmed_gen.txt,random_75
562,333
562,339
562,320
562,325
562,325
562,329
562,324
562,340
562,337
562,323
input_smallmed_gen.txt,random_90
562,227
562,223
562,231
562,211
562,232
562,228
562,225
562,223
562,239
562,246
input_smallmed_gen_reduced.txt,missing_one
305,111
305,106
305,99
305,102
305,124
305,106
305,106
305,117
305,105
305,102
input_smallmed_gen_reduced.txt,has_one
305,336
305,315
305,319
305,330
305,306
305,316
305,315
305,330
305,343
305,301
input_smallmed_gen_reduced.txt,some
305,288
305,283
305,270
305,267
305,387
305,318
305,274
305,268
305,265
305,267
input_smallmed_gen_reduced.txt,half
305,219
305,230
305,223
305,230
305,216
305,227
305,216
305,222
305,230
305,228
input_smallmed_gen_reduced.txt,most
305,149
305,161
305,159
305,156
305,149
305,157
305,147
305,141
305,163
305,146
input_smallmed_gen_reduced.txt,random_10
305,323
305,374
305,354
305,345
305,374
305,333
305,328
305,318
305,326
305,330
input_smallmed_gen_reduced.txt,random_25
305,440
305,411
305,411
305,428
305,402
305,418
305,429
305,396
305,409
305,409
input_smallmed_gen_reduced.txt,random_50
305,325
305,368
305,389
305,358
305,326
305,361
305,318
305,381
305,327
305,359
input_smallmed_gen_reduced.txt,random_75
305,334
305,281
305,287
305,288
305,293
305,282
305,279
305,289
305,281
305,257
input_smallmed_gen_reduced.txt,random_90
305,223
305,229
305,227
305,230
305,235
305,213
305,228
305,213
305,233
305,222
input_medium_gen.txt,missing_one
24183,1928
24183,1893
24183,1904
24183,1921
24183,1918
24183,1917
24183,1927
24183,1927
24183,1899
24183,1863
input_medium_gen.txt,has_one
24183,24519
24183,24602
24183,24491
24183,24544
24183,24396
24183,24634
